        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.00000000e+01,        +1.414213562373e-01,        +2.188247618641e-01,        +5.349975544598e-02,        +6.105730468031e-02,        -7.315368189513e-02,        +1.414213562373e-01,        +6.105730468031e-02,        -7.315368189513e-02,        +2.192790740300e-01,        +5.338707876938e-02
 2.05000000e+01,        +1.414213562373e-01,        +2.209286273893e-01,        +5.302771061629e-02,        +5.886430455727e-02,        -7.318112687542e-02,        +1.414213562373e-01,        +5.886430455727e-02,        -7.318112687542e-02,        +2.213939180992e-01,        +5.289764858273e-02
 2.10000000e+01,        +1.414213562373e-01,        +2.229999760047e-01,        +5.248772772164e-02,        +5.670158352025e-02,        -7.314215409596e-02,        +1.414213562373e-01,        +5.670158352025e-02,        -7.314215409596e-02,        +2.234758348745e-01,        +5.233969968618e-02
 2.15000000e+01,        +1.414213562373e-01,        +2.250371486568e-01,        +5.188226838129e-02,        +5.457076629320e-02,        -7.303927234758e-02,        +1.414213562373e-01,        +5.457076629320e-02,        -7.303927234759e-02,        +2.255231482323e-01,        +5.171571148229e-02
 2.20000000e+01,        +1.414213562373e-01,        +2.270386318102e-01,        +5.121377872382e-02,        +5.247333085666e-02,        -7.287497608104e-02,        +1.414213562373e-01,        +5.247333085666e-02,        -7.287497608105e-02,        +2.275343286347e-01,        +5.102814795044e-02
 2.25000000e+01,        +1.414213562373e-01,        +2.290030507004e-01,        +5.048468384588e-02,        +5.041061511269e-02,        -7.265173979613e-02,        +1.414213562373e-01,        +5.041061511268e-02,        -7.265173979613e-02,        +2.295079863376e-01,        +5.027945205369e-02
 2.30000000e+01,        +1.414213562373e-01,        +2.309291626889e-01,        +4.969738285345e-02,        +4.838382345623e-02,        -7.237201302216e-02,        +1.414213562373e-01,        +4.838382345623e-02,        -7.237201302216e-02,        +2.314428647008e-01,        +4.947204073327e-02
 2.35000000e+01,        +1.414213562373e-01,        +2.328158507361e-01,        +4.885424444568e-02,        +4.639403323372e-02,        -7.203821584871e-02,        +1.414213562373e-01,        +4.639403323372e-02,        -7.203821584871e-02,        +2.333378336165e-01,        +4.860830045008e-02
 2.40000000e+01,        +1.414213562373e-01,        +2.346621170088e-01,        +4.795760300361e-02,        +4.444220107253e-02,        -7.165273496822e-02,        +1.414213562373e-01,        +4.444220107253e-02,        -7.165273496822e-02,        +2.351918830726e-01,        +4.769058323535e-02
 2.45000000e+01,        +1.414213562373e-01,        +2.364670766348e-01,        +4.700975514845e-02,        +4.252916906716e-02,        -7.121792019443e-02,        +1.414213562373e-01,        +4.252916906716e-02,        -7.121792019443e-02,        +2.370041168623e-01,        +4.672120321490e-02
 2.50000000e+01,        +1.414213562373e-01,        +2.382299516142e-01,        +4.601295673641e-02,        +4.065567081038e-02,        -7.073608142296e-02,        +1.414213562373e-01,        +4.065567081038e-02,        -7.073608142296e-02,        +2.387737464530e-01,        +4.570243357347e-02
 2.55000000e+01,        +1.414213562373e-01,        +2.399500649000e-01,        +4.496942025852e-02,        +3.882233725911e-02,        -7.020948600203e-02,        +1.414213562373e-01,        +3.882233725911e-02,        -7.020948600203e-02,        +2.405000850227e-01,        +4.463650392754e-02
 2.60000000e+01,        +1.414213562373e-01,        +2.416268346510e-01,        +4.388131261598e-02,        +3.702970242681e-02,        -6.964035648316e-02,        +1.414213562373e-01,        +3.702970242681e-02,        -6.964035648316e-02,        +2.421825416720e-01,        +4.352559807680e-02
 2.65000000e+01,        +1.414213562373e-01,        +2.432597686682e-01,        +4.275075324292e-02,        +3.527820889548e-02,        -6.903086872346e-02,        +1.414213562373e-01,        +3.527820889548e-02,        -6.903086872346e-02,        +2.438206158181e-01,        +4.237185210596e-02
 2.70000000e+01,        +1.414213562373e-01,        +2.448484590151e-01,        +4.157981254984e-02,        +3.356821314202e-02,        -6.838315031234e-02,        +1.414213562373e-01,        +3.356821314202e-02,        -6.838315031234e-02,        +2.454138917749e-01,        +4.117735281007e-02
