        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.30000000e+01,        +7.071067811865e+00,        +9.364506704094e+00,        +2.581330868689e+00,        +4.681112757122e+00,        -3.221228771086e+00,        +7.071067811865e+00,        +4.681112757122e+00,        -3.221228771086e+00,        +9.378004883631e+00,        +2.584359198689e+00
 1.35000000e+01,        +7.071067811865e+00,        +9.478871356911e+00,        +2.617665344685e+00,        +4.563695316024e+00,        -3.281675083636e+00,        +7.071067811865e+00,        +4.563695316024e+00,        -3.281675083636e+00,        +9.493081660504e+00,        +2.620313409769e+00
 1.40000000e+01,        +7.071067811865e+00,        +9.593722799467e+00,        +2.649045025075e+00,        +4.445701230588e+00,        -3.337219243404e+00,        +7.071067811865e+00,        +4.445701230588e+00,        -3.337219243404e+00,        +9.608643258893e+00,        +2.651273941753e+00
 1.45000000e+01,        +7.071067811865e+00,        +9.708842133317e+00,        +2.675552079143e+00,        +4.327347509856e+00,        -3.387944176574e+00,        +7.071067811865e+00,        +4.327347509856e+00,        -3.387944176574e+00,        +9.724469023127e+00,        +2.677323338627e+00
 1.50000000e+01,        +7.071067811865e+00,        +9.824021853447e+00,        +2.697276409243e+00,        +4.208839914143e+00,        -3.433940743963e+00,        +7.071067811865e+00,        +4.208839914143e+00,        -3.433940743963e+00,        +9.840349753836e+00,        +2.698551956023e+00
 1.55000000e+01,        +7.071067811865e+00,        +9.939065710681e+00,        +2.714314648965e+00,        +4.090373056151e+00,        -3.475306718277e+00,        +7.071067811865e+00,        +4.090373056151e+00,        -3.475306718277e+00,        +9.956087573570e+00,        +2.715056951302e+00
 1.60000000e+01,        +7.071067811865e+00,        +1.005378852367e+01,        +2.726769237742e+00,        +3.972130558885e+00,        -3.512145840429e+00,        +7.071067811865e+00,        +3.972130558885e+00,        -3.512145840429e+00,        +1.007149574079e+01,        +2.726941350313e+00
 1.65000000e+01,        +7.071067811865e+00,        +1.016801595026e+01,        +2.734747568096e+00,        +3.854285259323e+00,        -3.544566950785e+00,        +7.071067811865e+00,        +3.854285259323e+00,        -3.544566950785e+00,        +1.018639842225e+01,        +2.734313187200e+00
 1.70000000e+01,        +7.071067811865e+00,        +1.028158422655e+01,        +2.738361201410e+00,        +3.736999448592e+00,        -3.572683190871e+00,        +7.071067811865e+00,        +3.736999448592e+00,        -3.572683190871e+00,        +1.030063043234e+01,        +2.737284713215e+00
 1.75000000e+01,        +7.071067811865e+00,        +1.039433988055e+01,        +2.737725147970e+00,        +3.620425140906e+00,        -3.596611271045e+00,        +7.071067811865e+00,        +3.620425140906e+00,        -3.596611271045e+00,        +1.041403694632e+01,        +2.735971670300e+00
 1.80000000e+01,        +7.071067811865e+00,        +1.050613942631e+01,        +2.732957207039e+00,        +3.504704364825e+00,        -3.616470799687e+00,        +7.071067811865e+00,        +3.504704364825e+00,        -3.616470799687e+00,        +1.052647319368e+01,        +2.730492625219e+00
 1.85000000e+01,        +7.071067811865e+00,        +1.061684904333e+01,        +2.724177362870e+00,        +3.389969471502e+00,        -3.632383669608e+00,        +7.071067811865e+00,        +3.389969471502e+00,        -3.632383669608e+00,        +1.063780413627e+01,        +2.720968360106e+00
 1.90000000e+01,        +7.071067811865e+00,        +1.072634424527e+01,        +2.711507232748e+00,        +3.276343455469e+00,        -3.644473497630e+00,        +7.071067811865e+00,        +3.276343455469e+00,        -3.644473497631e+00,        +1.074790413557e+01,        +2.707521315512e+00
 1.95000000e+01,        +7.071067811865e+00,        +1.083450954136e+01,        +2.695069563395e+00,        +3.163940284291e+00,        -3.652865113525e+00,        +7.071067811865e+00,        +3.163940284291e+00,        -3.652865113525e+00,        +1.085665661232e+01,        +2.690275082231e+00
 2.00000000e+01,        +7.071067811865e+00,        +1.094123809320e+01,        +2.674987772299e+00,        +3.052865234016e+00,        -3.657684094757e+00,        +7.071067811865e+00,        +3.052865234016e+00,        -3.657684094757e+00,        +1.096395370150e+01,        +2.669353938469e+00
 2.05000000e+01,        +7.071067811865e+00,        +1.104643136947e+01,        +2.651385530814e+00,        +2.943215227863e+00,        -3.659056343771e+00,        +7.071067811865e+00,        +2.943215227863e+00,        -3.659056343771e+00,        +1.106969590496e+01,        +2.644882429137e+00
 2.10000000e+01,        +7.071067811865e+00,        +1.114999880023e+01,        +2.624386386082e+00,        +2.835079176012e+00,        -3.657107704798e+00,        +7.071067811865e+00,        +2.835079176012e+00,        -3.657107704798e+00,        +1.117379174372e+01,        +2.616984984309e+00
 2.15000000e+01,        +7.071067811865e+00,        +1.125185743284e+01,        +2.594113419064e+00,        +2.728538314660e+00,        -3.651963617379e+00,        +7.071067811865e+00,        +2.728538314660e+00,        -3.651963617379e+00,        +1.127615741162e+01,        +2.585785574115e+00
 2.20000000e+01,        +7.071067811865e+00,        +1.135193159051e+01,        +2.560688936191e+00,        +2.623666542833e+00,        -3.643748804052e+00,        +7.071067811865e+00,        +2.623666542833e+00,        -3.643748804052e+00,        +1.137671643174e+01,        +2.551407397522e+00
 2.25000000e+01,        +7.071067811865e+00,        +1.145015253502e+01,        +2.524234192294e+00,        +2.520530755634e+00,        -3.632586989806e+00,        +7.071067811865e+00,        +2.520530755634e+00,        -3.632586989806e+00,        +1.147539931688e+01,        +2.513972602685e+00
 2.30000000e+01,        +7.071067811865e+00,        +1.154645813444e+01,        +2.484869142672e+00,        +2.419191172811e+00,        -3.618600651108e+00,        +7.071067811865e+00,        +2.419191172811e+00,        -3.618600651108e+00,        +1.157214323504e+01,        +2.473602036664e+00
 2.35000000e+01,        +7.071067811865e+00,        +1.164079253680e+01,        +2.442712222284e+00,        +2.319701661686e+00,        -3.601910792436e+00,        +7.071067811865e+00,        +2.319701661686e+00,        -3.601910792436e+00,        +1.166689168083e+01,        +2.430415022504e+00
 2.40000000e+01,        +7.071067811865e+00,        +1.173310585044e+01,        +2.397880150180e+00,        +2.222110053626e+00,        -3.582636748411e+00,        +7.071067811865e+00,        +2.222110053626e+00,        -3.582636748411e+00,        +1.175959415363e+01,        +2.384529161767e+00
 2.45000000e+01,        +7.071067811865e+00,        +1.182335383174e+01,        +2.350487757423e+00,        +2.126458453358e+00,        -3.560896009721e+00,        +7.071067811865e+00,        +2.126458453358e+00,        -3.560896009721e+00,        +1.185020584312e+01,        +2.336060160745e+00
 2.50000000e+01,        +7.071067811865e+00,        +1.191149758071e+01,        +2.300647836821e+00,        +2.032783540519e+00,        -3.536804071148e+00,        +7.071067811865e+00,        +2.032783540519e+00,        -3.536804071148e+00,        +1.193868732265e+01,        +2.285121678674e+00
 2.55000000e+01,        +7.071067811865e+00,        +1.199750324500e+01,        +2.248471012926e+00,        +1.941116862956e+00,        -3.510474300102e+00,        +7.071067811865e+00,        +1.941116862955e+00,        -3.510474300102e+00,        +1.202500425114e+01,        +2.231825196377e+00
 2.60000000e+01,        +7.071067811865e+00,        +1.208134173255e+01,        +2.194065630799e+00,        +1.851485121340e+00,        -3.482017824158e+00,        +7.071067811865e+00,        +1.851485121340e+00,        -3.482017824158e+00,        +1.210912708360e+01,        +2.176279903840e+00
 2.65000000e+01,        +7.071067811865e+00,        +1.216298843341e+01,        +2.137537662146e+00,        +1.763910444774e+00,        -3.451543436173e+00,        +7.071067811865e+00,        +1.763910444774e+00,        -3.451543436173e+00,        +1.219103079090e+01,        +2.118592605298e+00
 2.70000000e+01,        +7.071067811865e+00,        +1.224242295075e+01,        +2.078990627492e+00,        +1.678410657101e+00,        -3.419157515617e+00,        +7.071067811865e+00,        +1.678410657101e+00,        -3.419157515617e+00,        +1.227069458874e+01,        +2.058867640504e+00
 2.75000000e+01,        +7.071067811865e+00,        +1.231962884143e+01,        +2.018525533135e+00,        +1.594999533739e+00,        -3.384963964856e+00,        +7.071067811865e+00,        +1.594999533739e+00,        -3.384963964857e+00,        +1.234810167623e+01,        +1.997206820893e+00
 2.80000000e+01,        +7.071067811865e+00,        +1.239459336607e+01,        +1.956240821672e+00,        +1.513687048872e+00,        -3.349064159161e+00,        +7.071067811865e+00,        +1.513687048872e+00,        -3.349064159161e+00,        +1.242323898408e+01,        +1.933709379454e+00
 2.85000000e+01,        +7.071067811865e+00,        +1.246730724890e+01,        +1.892232334972e+00,        +1.434479612938e+00,        -3.311556909290e+00,        +7.071067811865e+00,        +1.434479612938e+00,        -3.311556909290e+00,        +1.249609693248e+01,        +1.868471933139e+00
 2.90000000e+01,        +7.071067811865e+00,        +1.253776444718e+01,        +1.826593288518e+00,        +1.357380300351e+00,        -3.272538435572e+00,        +7.071067811865e+00,        +1.357380300351e+00,        -3.272538435572e+00,        +1.256666919878e+01,        +1.801588456756e+00
 2.95000000e+01,        +7.071067811865e+00,        +1.260596193033e+01,        +1.759414256101e+00,        +1.282389067496e+00,        -3.232102352441e+00,        +7.071067811865e+00,        +1.282389067496e+00,        -3.232102352441e+00,        +1.263495249481e+01,        +1.733150267302e+00
 3.00000000e+01,        +7.071067811865e+00,        +1.267189946864e+01,        +1.690783163901e+00,        +1.209502961032e+00,        -3.190339662461e+00,        +7.071067811865e+00,        +1.209502961032e+00,        -3.190339662461e+00,        +1.270094635386e+01,        +1.663246017775e+00
 3.05000000e+01,        +7.071067811865e+00,        +1.273557943143e+01,        +1.620785293065e+00,        +1.138716316607e+00,        -3.147338758932e+00,        +7.071067811865e+00,        +1.138716316607e+00,        -3.147338758932e+00,        +1.276465292718e+01,        +1.591961699558e+00
 3.10000000e+01,        +7.071067811865e+00,        +1.279700659457e+01,        +1.549503289918e+00,        +1.070020948111e+00,        -3.103185436201e+00,        +7.071067811865e+00,        +1.070020948111e+00,        -3.103185436201e+00,        +1.282607678989e+01,        +1.519380652509e+00
 3.15000000e+01,        +7.071067811865e+00,        +1.285618795717e+01,        +1.477017183019e+00,        +1.003406327618e+00,        -3.057962906887e+00,        +7.071067811865e+00,        +1.003406327618e+00,        -3.057962906887e+00,        +1.288522475609e+01,        +1.445583581973e+00
 3.20000000e+01,        +7.071067811865e+00,        +1.291313256719e+01,        +1.403404406309e+00,        +9.388597562218e-01,        -3.011751825257e+00,        +7.071067811865e+00,        +9.388597562218e-01,        -3.011751825257e+00,        +1.294210570298e+01,        +1.370648581937e+00
 3.25000000e+01,        +7.071067811865e+00,        +1.296785135590e+01,        +1.328739827660e+00,        +8.763665259442e-01,        -2.964630316040e+00,        +7.071067811865e+00,        +8.763665259442e-01,        -2.964630316040e+00,        +1.299673040384e+01,        +1.294651163653e+00
 3.30000000e+01,        +7.071067811865e+00,        +1.302035698071e+01,        +1.253095782177e+00,        +8.159100729747e-01,        -2.916674008049e+00,        +7.071067811865e+00,        +8.159100729747e-01,        -2.916674008049e+00,        +1.304911136949e+01,        +1.217664289060e+00
 3.35000000e+01,        +7.071067811865e+00,        +1.307066367638e+01,        +1.176542109646e+00,        +7.574721224645e-01,        -2.867956071964e+00,        +7.071067811865e+00,        +7.574721224645e-01,        -2.867956071964e+00,        +1.309926269808e+01,        +1.139758408403e+00
 3.40000000e+01,        +7.071067811865e+00,        +1.311878711415e+01,        +1.099146195578e+00,        +7.010328251419e-01,        -2.818547261746e+00,        +7.071067811865e+00,        +7.010328251419e-01,        -2.818547261746e+00,        +1.314719993299e+01,        +1.061001501491e+00
 3.45000000e+01,        +7.071067811865e+00,        +1.316474426861e+01,        +1.020973015331e+00,        +6.465708860160e-01,        -2.768515959137e+00,        +7.071067811865e+00,        +6.465708860159e-01,        -2.768515959137e+00,        +1.319293992835e+01,        +9.814591220726e-01
 3.50000000e+01,        +7.071067811865e+00,        +1.320855329196e+01,        +9.420851808375e-01,        +5.940636854430e-01,        -2.717928220777e+00,        +7.071067811865e+00,        +5.940636854430e-01,        -2.717928220777e+00,        +1.323650072213e+01,        +9.011944448564e-01
 3.55000000e+01,        +7.071067811865e+00,        +1.325023339542e+01,        +8.625429895070e-01,        +5.434873928386e-01,        -2.666847827497e+00,        +7.071067811865e+00,        +5.434873928386e-01,        -2.666847827497e+00,        +1.327790141637e+01,        +8.202683147336e-01
 3.60000000e+01,        +7.071067811865e+00,        +1.328980473748e+01,        +7.824044749044e-01,        +4.948170733190e-01,        -2.615336335371e+00,        +7.071067811865e+00,        +4.948170733190e-01,        -2.615336335371e+00,        +1.331716206429e+01,        +7.387392978115e-01
 3.65000000e+01,        +7.071067811865e+00,        +1.332728831865e+01,        +7.017254588444e-01,        +4.480267875572e-01,        -2.563453128183e+00,        +7.071067811865e+00,        +4.480267875571e-01,        -2.563453128183e+00,        +1.335430356394e+01,        +6.566637338895e-01
 3.70000000e+01,        +7.071067811865e+00,        +1.336270588254e+01,        +6.205596045748e-01,        +4.030896851386e-01,        -2.511255470947e+00,        +7.071067811865e+00,        +4.030896851385e-01,        -2.511255470947e+00,        +1.338934755819e+01,        +5.740957900481e-01
 3.75000000e+01,        +7.071067811865e+00,        +1.339607982274e+01,        +5.389584707527e-01,        +3.599780916993e-01,        -2.458798564193e+00,        +7.071067811865e+00,        +3.599780916993e-01,        -2.458798564193e+00,        +1.342231634065e+01,        +4.910875150544e-01
 3.80000000e+01,        +7.071067811865e+00,        +1.342743309551e+01,        +4.569715659466e-01,        +3.186635901253e-01,        -2.406135598745e+00,        +7.071067811865e+00,        +3.186635901253e-01,        -2.406135598745e+00,        +1.345323276729e+01,        +4.076888943150e-01
 3.85000000e+01,        +7.071067811865e+00,        +1.345678913771e+01,        +3.746464034258e-01,        +2.791170960858e-01,        -2.353317810724e+00,        +7.071067811865e+00,        +2.791170960858e-01,        -2.353317810724e+00,        +1.348212017350e+01,        +3.239479051354e-01
 3.90000000e+01,        +7.071067811865e+00,        +1.348417178994e+01,        +2.920285560250e-01,        +2.413089281703e-01,        -2.300394536582e+00,        +7.071067811865e+00,        +2.413089281703e-01,        -2.300394536582e+00,        +1.350900229617e+01,        +2.399105720722e-01
 3.95000000e+01,        +7.071067811865e+00,        +1.350960522434e+01,        +2.091617108935e-01,        +2.052088728889e-01,        -2.247413267950e+00,        +7.071067811865e+00,        +2.052088728889e-01,        -2.247413267950e+00,        +1.353390320071e+01,        +1.556210221886e-01
 4.00000000e+01,        +7.071067811865e+00,        +1.353311387707e+01,        +1.260877239636e-01,        +1.707862447900e-01,        -2.194419706120e+00,        +7.071067811865e+00,        +1.707862447900e-01,        -2.194419706120e+00,        +1.355684721257e+01,        +7.112154004406e-02
