        f (GHz),            V_inc[1][1] (V),            Re{V[1][1]} (V),            Im{V[1][1]} (V),            Re{V[2][1]} (V),            Im{V[2][1]} (V),            V_inc[2][2] (V),            Re{V[1][2]} (V),            Im{V[1][2]} (V),            Re{V[2][2]} (V),            Im{V[2][2]} (V)
 1.00000000e-02,        +7.071067811865e+00,        +7.478453189818e+00,        +2.839889700513e-03,        +6.663680584894e+00,        -3.642095071602e-03,        +7.071067811865e+00,        +6.663680584894e+00,        -3.642095071547e-03,        +7.478453234202e+00,        +2.855066514617e-03
 2.00000000e-02,        +7.071067811865e+00,        +7.478490718662e+00,        +5.651425747571e-03,        +6.663637514505e+00,        -7.255774891692e-03,        +7.071067811865e+00,        +6.663637514505e+00,        -7.255774891885e-03,        +7.478490906193e+00,        +5.681789235096e-03
 5.00000000e-01,        +7.071067811865e+00,        +7.483210802331e+00,        +1.383781814939e-01,        +6.654704849059e+00,        -1.772404242415e-01,        +7.071067811865e+00,        +6.654704849059e+00,        -1.772404242416e-01,        +7.483337545190e+00,        +1.391149283612e-01
 1.00000000e+00,        +7.071067811865e+00,        +7.494329051317e+00,        +2.747850875871e-01,        +6.634188882446e+00,        -3.471452639205e-01,        +7.071067811865e+00,        +6.634188882446e+00,        -3.471452639206e-01,        +7.494765451030e+00,        +2.760696950213e-01
 1.50000000e+00,        +7.071067811865e+00,        +7.511576191939e+00,        +4.105581011572e-01,        +6.607091029332e+00,        -5.109720035449e-01,        +7.071067811865e+00,        +6.607091029332e+00,        -5.109720035449e-01,        +7.512269646000e+00,        +4.122738926066e-01
 2.00000000e+00,        +7.071067811865e+00,        +7.535607795889e+00,        +5.455861680738e-01,        +6.574821449984e+00,        -6.707830804561e-01,        +7.071067811865e+00,        +6.574821449984e+00,        -6.707830804561e-01,        +7.536579050150e+00,        +5.477433733572e-01
 2.50000000e+00,        +7.071067811865e+00,        +7.566646781280e+00,        +6.792400462732e-01,        +6.537350873242e+00,        -8.277124952087e-01,        +7.071067811865e+00,        +6.537350873242e+00,        -8.277124952087e-01,        +7.567961268157e+00,        +6.818079630454e-01
 3.00000000e+00,        +7.071067811865e+00,        +7.604599348545e+00,        +8.109044962491e-01,        +6.494375977761e+00,        -9.820979649962e-01,        +7.071067811865e+00,        +6.494375977761e+00,        -9.820979649962e-01,        +7.606301275885e+00,        +8.138281082887e-01
 3.50000000e+00,        +7.071067811865e+00,        +7.649241689208e+00,        +9.400716839553e-01,        +6.445692022726e+00,        -1.133863703782e+00,        +7.071067811865e+00,        +6.445692022726e+00,        -1.133863703782e+00,        +7.651354229988e+00,        +9.433001984021e-01
 4.00000000e+00,        +7.071067811865e+00,        +7.700305212796e+00,        +1.066319985944e+00,        +6.391242709789e+00,        -1.282763100027e+00,        +7.071067811865e+00,        +6.391242709789e+00,        -1.282763100026e+00,        +7.702842872275e+00,        +1.069814226518e+00
 4.50000000e+00,        +7.071067811865e+00,        +7.757504003210e+00,        +1.189286538678e+00,        +6.331090644208e+00,        -1.428494629539e+00,        +7.071067811865e+00,        +6.331090644208e+00,        -1.428494629539e+00,        +7.760480817991e+00,        +1.193017016306e+00
 5.00000000e+00,        +7.071067811865e+00,        +7.820541660026e+00,        +1.308651043711e+00,        +6.265382351324e+00,        -1.570752294589e+00,        +7.071067811865e+00,        +6.265382351324e+00,        -1.570752294589e+00,        +7.823974906630e+00,        +1.312593938964e+00
 5.50000000e+00,        +7.071067811865e+00,        +7.889112778352e+00,        +1.424128014192e+00,        +6.194321953167e+00,        -1.709246857171e+00,        +7.071067811865e+00,        +6.194321953167e+00,        -1.709246857171e+00,        +7.893023940981e+00,        +1.428261396495e+00
 6.00000000e+00,        +7.071067811865e+00,        +7.962903862143e+00,        +1.535463366743e+00,        +6.118153073580e+00,        -1.843714456805e+00,        +7.071067811865e+00,        +6.118153073580e+00,        -1.843714456805e+00,        +7.967317975249e+00,        +1.539764229243e+00
 6.50000000e+00,        +7.071067811865e+00,        +8.041594739557e+00,        +1.642432832937e+00,        +6.037146511780e+00,        -1.973919752972e+00,        +7.071067811865e+00,        +6.037146511780e+00,        -1.973919752972e+00,        +8.046538752196e+00,        +1.646875217870e+00
 7.00000000e+00,        +7.071067811865e+00,        +8.124860427708e+00,        +1.744840950711e+00,        +5.951591653944e+00,        -2.099656722576e+00,        +7.071067811865e+00,        +5.951591653944e+00,        -2.099656722576e+00,        +8.130361259641e+00,        +1.749395332085e+00
 7.50000000e+00,        +7.071067811865e+00,        +8.212373193402e+00,        +1.842520147549e+00,        +5.861790175012e+00,        -2.220748470929e+00,        +7.071067811865e+00,        +5.861790175012e+00,        -2.220748470929e+00,        +8.218456182537e+00,        +1.847153854135e+00
 8.00000000e+00,        +7.071067811865e+00,        +8.303804642280e+00,        +1.935329764591e+00,        +5.768051102902e+00,        -2.337046532562e+00,        +7.071067811865e+00,        +5.768051102902e+00,        -2.337046532562e+00,        +8.310492739215e+00,        +1.940007866353e+00
 8.50000000e+00,        +7.071067811865e+00,        +8.398827755578e+00,        +2.023154963469e+00,        +5.670686783198e+00,        -2.448429776283e+00,        +7.071067811865e+00,        +5.670686783198e+00,        -2.448429776283e+00,        +8.406141347887e+00,        +2.027841088470e+00
 9.00000000e+00,        +7.071067811865e+00,        +8.497118811359e+00,        +2.105905483082e+00,        +5.570009567181e+00,        -2.554802989384e+00,        +7.071067811865e+00,        +5.570009567181e+00,        -2.554802989384e+00,        +8.505075853114e+00,        +2.110562348063e+00
 9.50000000e+00,        +7.071067811865e+00,        +8.598359127858e+00,        +2.183514249133e+00,        +5.466329129681e+00,        -2.656095255614e+00,        +7.071067811865e+00,        +5.466329129681e+00,        -2.656095255614e+00,        +8.606975323196e+00,        +2.188103939593e+00
 1.00000000e+01,        +7.071067811865e+00,        +8.702236585491e+00,        +2.255935871875e+00,        +5.359950321266e+00,        -2.752258237732e+00,        +7.071067811865e+00,        +5.359950321266e+00,        -2.752258237732e+00,        +8.711525521976e+00,        +2.260419984248e+00
 1.05000000e+01,        +7.071067811865e+00,        +8.808446911667e+00,        +2.323145079820e+00,        +5.251171458759e+00,        -2.843264439980e+00,        +7.071067811865e+00,        +5.251171458759e+00,        -2.843264439980e+00,        +8.818420133113e+00,        +2.327484813366e+00
 1.10000000e+01,        +7.071067811865e+00,        +8.916694733691e+00,        +2.385135133407e+00,        +5.140282972969e+00,        -2.929105493543e+00,        +7.071067811865e+00,        +5.140282972969e+00,        -2.929105493543e+00,        +8.927361774584e+00,        +2.389291375745e+00
 1.15000000e+01,        +7.071067811865e+00,        +9.026694416565e+00,        +2.441916253258e+00,        +5.027566350895e+00,        -3.009790489465e+00,        +7.071067811865e+00,        +5.027566350895e+00,        -3.009790489465e+00,        +9.038062821077e+00,        +2.445849673761e+00
 1.20000000e+01,        +7.071067811865e+00,        +9.138170707292e+00,        +2.493514088398e+00,        +4.913293324134e+00,        -3.085344374388e+00,        +7.071067811865e+00,        +4.913293324134e+00,        -3.085344374388e+00,        +9.150246047844e+00,        +2.497185239701e+00
 1.25000000e+01,        +7.071067811865e+00,        +9.250859208552e+00,        +2.539968242296e+00,        +4.797725264852e+00,        -3.155806419667e+00,        +7.071067811865e+00,        +4.797725264852e+00,        -3.155806419667e+00,        +9.263645111268e+00,        +2.543337665658e+00
