        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 8.50000000e+00,        -9.313613366189e+00,        +5.672383527649e+01,        -1.174584211588e+00,        -2.335321544615e+01,        -1.174584211588e+00,        -2.335321544615e+01,        -9.285185507418e+00,        +5.664021711891e+01
 9.00000000e+00,        -8.881691506382e+00,        +5.589541476473e+01,        -1.243366441897e+00,        -2.463956058990e+01,        -1.243366441897e+00,        -2.463956058990e+01,        -8.853321484336e+00,        +5.580610357534e+01
 9.50000000e+00,        -8.476900490819e+00,        +5.502856604541e+01,        -1.315248911700e+00,        -2.591516717219e+01,        -1.315248911700e+00,        -2.591516717219e+01,        -8.448577233324e+00,        +5.493362626540e+01
 1.00000000e+01,        -8.096706427638e+00,        +5.413095026580e+01,        -1.390156112856e+00,        -2.717985335280e+01,        -1.390156112856e+00,        -2.717985335280e+01,        -8.068419954483e+00,        +5.403043032472e+01
 1.05000000e+01,        -7.738906374459e+00,        +5.320878466924e+01,        -1.468014002189e+00,        -2.843347870059e+01,        -1.468014002189e+00,        -2.843347870059e+01,        -7.710647674864e+00,        +5.310271894755e+01
 1.10000000e+01,        -7.401573526659e+00,        +5.226715514285e+01,        -1.548750589497e+00,        -2.967593978240e+01,        -1.548750589497e+00,        -2.967593978240e+01,        -7.373334514129e+00,        +5.215556612797e+01
 1.15000000e+01,        -7.083013173785e+00,        +5.131025114389e+01,        -1.632296360793e+00,        -3.090716608132e+01,        -1.632296360793e+00,        -3.090716608132e+01,        -7.054786641352e+00,        +5.119315153277e+01
 1.20000000e+01,        -6.781727030463e+00,        +5.034154467476e+01,        -1.718584577308e+00,        -3.212711625216e+01,        -1.718584577308e+00,        -3.212711625216e+01,        -6.753506587872e+00,        +5.021893923997e+01
 1.25000000e+01,        -6.496384128073e+00,        +4.936392831074e+01,        -1.807551479081e+00,        -3.333577470563e+01,        -1.807551479081e+00,        -3.333577470563e+01,        -6.468164124379e+00,        +4.923581545578e+01
 1.30000000e+01,        -6.225796885217e+00,        +4.837982284182e+01,        -1.899136414385e+00,        -3.453314850832e+01,        -1.899136414385e+00,        -3.453314850832e+01,        -6.197572325146e+00,        +4.824619584586e+01
 1.35000000e+01,        -5.968901296992e+00,        +4.739126207558e+01,        -1.993281911397e+00,        -3.571926458445e+01,        -1.993281911397e+00,        -3.571926458445e+01,        -5.940667758212e+00,        +4.725211006420e+01
 1.40000000e+01,        -5.724740424374e+00,        +4.639996026913e+01,        -2.089933705136e+00,        -3.689416720375e+01,        -2.089933705136e+00,        -3.689416720375e+01,        -5.696493980271e+00,        +4.625526895915e+01
 1.45000000e+01,        -5.492450546873e+00,        +4.540736620333e+01,        -2.189040730282e+00,        -3.805791573876e+01,        -2.189040730282e+00,        -3.805791573876e+01,        -5.464187697170e+00,        +4.525711846888e+01
 1.50000000e+01,        -5.271249479565e+00,        +4.441470688076e+01,        -2.290555088509e+00,        -3.921058267308e+01,        -2.290555088509e+00,        -3.921058267308e+01,        -5.242967089577e+00,        +4.425888318114e+01
 1.55000000e+01,        -5.060426660914e+00,        +4.342302308762e+01,        -2.394431997428e+00,        -4.035225184109e+01,        -2.394431997428e+00,        -4.035225184109e+01,        -5.032121909276e+00,        +4.326160178986e+01
 1.60000000e+01,        -4.859334698753e+00,        +4.243319852060e+01,        -2.500629726876e+00,        -4.148301687905e+01,        -2.500629726876e+00,        -4.148301687905e+01,        -4.831005032967e+00,        +4.226615614263e+01
 1.65000000e+01,        -4.667382124360e+00,        +4.144598378390e+01,        -2.609109527181e+00,        -4.260297986742e+01,        -2.609109527181e+00,        -4.260297986742e+01,        -4.639025223274e+00,        +4.127329517790e+01
 1.70000000e+01,        -4.484027153328e+00,        +4.046201626676e+01,        -2.719835553074e+00,        -4.371225014453e+01,        -2.719835553074e+00,        -4.371225014453e+01,        -4.455640895633e+00,        +4.028365475773e+01
 1.75000000e+01,        -4.308772290134e+00,        +3.948183669092e+01,        -2.832774786133e+00,        -4.481094327268e+01,        -2.832774786133e+00,        -4.481094327268e+01,        -4.280354727963e+00,        +3.929777418145e+01
 1.80000000e+01,        -4.141159643410e+00,        +3.850590294947e+01,        -2.947896957934e+00,        -4.589918013874e+01,        -2.947896957934e+00,        -4.589918013874e+01,        -4.112708980253e+00,        +3.831610999912e+01
 1.85000000e+01,        -3.980766842838e+00,        +3.753460173051e+01,        -3.065174475588e+00,        -4.697708617270e+01,        -3.065174475588e+00,        -4.697708617270e+01,        -3.952281415056e+00,        +3.733904761596e+01
 1.90000000e+01,        -3.827203467705e+00,        +3.656825831965e+01,        -3.184582350846e+00,        -4.804479066901e+01,        -3.184582350846e+00,        -4.804479066901e+01,        -3.798681729038e+00,        +3.636691108015e+01
 1.95000000e+01,        -3.680107912479e+00,        +3.560714489826e+01,        -3.306098133614e+00,        -4.910242619709e+01,        -3.306098133614e+00,        -4.910242619709e+01,        -3.651548421031e+00,        +3.539997136978e+01
 2.00000000e+01,        -3.539144627164e+00,        +3.465148759388e+01,        -3.429701850428e+00,        -5.015012808890e+01,        -3.429701850428e+00,        -5.015012808890e+01,        -3.510546034449e+00,        +3.443845343457e+01
 2.05000000e+01,        -3.404001680310e+00,        +3.370147249122e+01,        -3.555375948221e+00,        -5.118803399269e+01,        -3.555375948221e+00,        -5.118803399269e+01,        -3.375362721986e+00,        +3.348254219992e+01
 2.10000000e+01,        -3.274388600762e+00,        +3.275725077412e+01,        -3.683105243541e+00,        -5.221628348383e+01,        -3.683105243541e+00,        -5.221628348383e+01,        -3.245708088774e+00,        +3.253238770347e+01
 2.15000000e+01,        -3.150034461044e+00,        +3.181894313837e+01,        -3.812876877263e+00,        -5.323501772436e+01,        -3.812876877263e+00,        -5.323501772436e+01,        -3.121311276927e+00,        +3.158810950344e+01
 2.20000000e+01,        -3.030686170859e+00,        +3.088664359062e+01,        -3.944680274741e+00,        -5.424437916449e+01,        -3.944680274741e+00,        -5.424437916449e+01,        -3.001919259996e+00,        +3.064980047383e+01
 2.25000000e+01,        -2.916106953837e+00,        +2.996042272871e+01,        -4.078507111302e+00,        -5.524451128004e+01,        -4.078507111302e+00,        -5.524451128004e+01,        -2.887295320527e+00,        +2.971753008177e+01
 2.30000000e+01,        -2.806074984571e+00,        +2.904033058271e+01,        -4.214351282937e+00,        -5.623555834085e+01,        -4.214351282937e+00,        -5.623555834085e+01,        -2.777217687752e+00,        +2.879134722586e+01
 2.35000000e+01,        -2.700382166199e+00,        +2.812639908254e+01,        -4.352208882039e+00,        -5.721766520598e+01,        -4.352208882039e+00,        -5.721766520598e+01,        -2.671478315737e+00,        +2.787128270143e+01
 2.40000000e+01,        -2.598833031570e+00,        +2.721864420727e+01,        -4.492078178020e+00,        -5.819097714216e+01,        -4.492078178020e+00,        -5.819097714216e+01,        -2.569881785007e+00,        +2.695735134786e+01
 2.45000000e+01,        -2.501243753318e+00,        +2.631706786229e+01,        -4.633959602674e+00,        -5.915563966266e+01,        -4.633959602674e+00,        -5.915563966266e+01,        -2.472244313017e+00,        +2.604955392382e+01
 2.50000000e+01,        -2.407441250137e+00,        +2.542165952316e+01,        -4.777855740136e+00,        -6.011179838422e+01,        -4.777855740136e+00,        -6.011179838422e+01,        -2.378392860767e+00,        +2.514787874937e+01
 2.55000000e+01,        -2.317262378253e+00,        +2.453239767869e+01,        -4.923771321332e+00,        -6.105959890004e+01,        -4.923771321332e+00,        -6.105959890004e+01,        -2.288164324553e+00,        +2.425230314745e+01
 2.60000000e+01,        -2.230553198465e+00,        +2.364925110099e+01,        -5.071713222839e+00,        -6.199918666741e+01,        -5.071713222839e+00,        -6.199918666741e+01,        -2.201404803259e+00,        +2.336279471234e+01
 2.65000000e+01,        -2.147168310399e+00,        +2.277217996567e+01,        -5.221690470079e+00,        -6.293070690863e+01,        -5.221690470079e+00,        -6.293070690863e+01,        -2.117968932825e+00,        +2.247931242843e+01
 2.70000000e+01,        -2.066970246645e+00,        +2.190113684219e+01,        -5.373714244837e+00,        -6.385430452437e+01,        -5.373714244837e+00,        -6.385430452437e+01,        -2.037719280569e+00,        +2.160180765911e+01
 2.75000000e+01,        -1.989828920353e+00,        +2.103606757101e+01,        -5.527797897084e+00,        -6.477012401862e+01,        -5.527797897084e+00,        -6.477012401862e+01,        -1.960525792955e+00,        +2.073022502253e+01
 2.80000000e+01,        -1.915621120663e+00,        +2.017691204207e+01,        -5.683956961141e+00,        -6.567830943478e+01,        -5.683956961141e+00,        -6.567830943478e+01,        -1.886265291165e+00,        +1.986450316875e+01
 2.85000000e+01,        -1.844230050999e+00,        +1.932360488682e+01,        -5.842209176259e+00,        -6.657900430238e+01,        -5.842209176259e+00,        -6.657900430239e+01,        -1.814821009531e+00,        +1.900457547042e+01
 2.90000000e+01,        -1.775544905860e+00,        +1.847607609432e+01,        -6.002574511672e+00,        -6.747235159438e+01,        -6.002574511672e+00,        -6.747235159438e+01,        -1.746082172445e+00,        +1.815037063757e+01
 2.95000000e+01,        -1.709460482246e+00,        +1.763425156048e+01,        -6.165075196279e+00,        -6.835849369457e+01,        -6.165075196279e+00,        -6.835849369457e+01,        -1.679943605901e+00,        +1.730181326557e+01
 3.00000000e+01,        -1.645876822303e+00,        +1.679805357825e+01,        -6.329735753082e+00,        -6.923757237540e+01,        -6.329735753082e+00,        -6.923757237540e+01,        -1.616305380240e+00,        +1.645882432401e+01
 3.05000000e+01,        -1.584698884159e+00,        +1.596740127544e+01,        -6.496583038571e+00,        -7.010972878599e+01,        -6.496583038571e+00,        -7.010972878599e+01,        -1.555072481086e+00,        +1.562132159325e+01
 3.10000000e+01,        -1.525836238259e+00,        +1.514221100601e+01,        -6.665646287271e+00,        -7.097510345066e+01,        -6.665646287271e+00,        -7.097510345066e+01,        -1.496154505771e+00,        +1.478922005444e+01
 3.15000000e+01,        -1.469202786811e+00,        +1.432239669993e+01,        -6.836957161691e+00,        -7.183383627806e+01,        -6.836957161691e+00,        -7.183383627807e+01,        -1.439465382870e+00,        +1.396243223809e+01
 3.20000000e+01,        -1.414716504214e+00,        +1.350787017601e+01,        -7.010549807948e+00,        -7.268606658127e+01,        -7.010549807948e+00,        -7.268606658128e+01,        -1.384923112710e+00,        +1.314086853561e+01
 3.25000000e+01,        -1.362299196557e+00,        +1.269854142146e+01,        -7.186460917392e+00,        -7.353193310921e+01,        -7.186460917392e+00,        -7.353193310921e+01,        -1.332449526954e+00,        +1.232443747764e+01
 3.30000000e+01,        -1.311876278505e+00,        +1.189431884172e+01,        -7.364729794569e+00,        -7.437157408985e+01,        -7.364729794569e+00,        -7.437157408985e+01,        -1.281970065560e+00,        +1.151304598248e+01
 3.35000000e+01,        -1.263376566037e+00,        +1.109510948331e+01,        -7.545398431905e+00,        -7.520512728579e+01,        -7.545398431905e+00,        -7.520512728579e+01,        -1.233413569595e+00,        +1.070659957774e+01
 3.40000000e+01,        -1.216732083669e+00,        +1.030081923251e+01,        -7.728511591557e+00,        -7.603273006283e+01,        -7.728511591557e+00,        -7.603273006283e+01,        -1.186712088540e+00,        +9.905002597604e+00
 3.45000000e+01,        -1.171877884961e+00,        +9.511352992012e+00,        -7.914116894877e+00,        -7.685451947236e+01,        -7.914116894877e+00,        -7.685451947236e+01,        -1.141800700858e+00,        +9.108158358190e+00
 3.50000000e+01,        -1.128751885164e+00,        +8.726614837651e+00,        -8.102264920032e+00,        -7.767063234840e+01,        -8.102264920032e+00,        -7.767063234840e+01,        -1.098617346723e+00,        +8.315969312893e+00
 3.55000000e+01,        -1.087294705057e+00,        +7.946508157024e+00,        -8.293009308338e+00,        -7.848120542047e+01,        -8.293009308338e+00,        -7.848120542047e+01,        -1.057102671925e+00,        +7.528337189609e+00
 3.60000000e+01,        -1.047449525042e+00,        +7.170935771576e+00,        -8.486406879940e+00,        -7.928637544334e+01,        -8.486406879940e+00,        -7.928637544334e+01,        -1.017199882038e+00,        +6.745163111405e+00
 3.65000000e+01,        -1.009161948707e+00,        +6.399800043605e+00,        -8.682517759538e+00,        -8.008627934526e+01,        -8.682517759538e+00,        -8.008627934527e+01,        -9.788546060547e-01,        +5.966347702067e+00
 3.70000000e+01,        -9.723798751212e-01,        +5.633002969460e+00,        -8.881405512913e+00,        -8.088105439612e+01,        -8.881405512913e+00,        -8.088105439612e+01,        -9.420147687521e-01,        +5.191791177802e+00
 3.75000000e+01,        -9.370533791808e-01,        +4.870446260072e+00,        -9.083137295097e+00,        -8.167083839750e+01,        -9.083137295097e+00,        -8.167083839750e+01,        -9.066304711142e-01,        +4.421393426253e+00
 3.80000000e+01,        -9.031345994266e-01,        +4.112031409853e+00,        -9.287784011112e+00,        -8.245576989677e+01,        -9.287784011112e+00,        -8.245576989677e+01,        -8.726538782206e-01,        +3.655054073822e+00
 3.85000000e+01,        -8.705776327633e-01,        +3.357659754893e+00,        -9.495420490304e+00,        -8.323598842771e+01,        -9.495420490304e+00,        -8.323598842771e+01,        -8.400391140434e-01,        +2.892672542253e+00
 3.90000000e+01,        -8.393384355922e-01,        +2.607232521258e+00,        -9.706125675389e+00,        -8.401163478050e+01,        -9.706125675389e+00,        -8.401163478050e+01,        -8.087421626561e-01,        +2.134148095277e+00
 3.95000000e+01,        -8.093747308957e-01,        +1.860650864177e+00,        -9.919982827479e+00,        -8.478285130439e+01,        -9.919982827479e+00,        -8.478285130439e+01,        -7.787207753980e-01,        +1.379379876081e+00
 4.00000000e+01,        -7.806459208616e-01,        +1.117815898752e+00,        -1.013707974844e+01,        -8.554978224684e+01,        -1.013707974844e+01,        -8.554978224684e+01,        -7.499343835801e-01,        +6.282669362566e-01
