        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e-02,        -2.478938026157e+01,        +3.994032857118e-01,        -5.154153151948e-01,        -3.131552491909e-02,        -5.154153151948e-01,        -3.131552491862e-02,        -2.478937705368e+01,        +4.015376458039e-01
 2.00000000e-02,        -2.478795564320e+01,        +7.947075950981e-01,        -5.154676045014e-01,        -6.238711412332e-02,        -5.154676045010e-01,        -6.238711412499e-02,        -2.478794264449e+01,        +7.989764110462e-01
 5.00000000e-01,        -2.422484381938e+01,        +1.855962314427e+01,        -5.240444489143e-01,        -1.525646636322e+00,        -5.240444489143e-01,        -1.525646636322e+00,        -2.421775122790e+01,        +1.864628149888e+01
 1.00000000e+00,        -2.293014520209e+01,        +3.299200373017e+01,        -5.420683004231e-01,        -2.995367656318e+00,        -5.420683004232e-01,        -2.995367656318e+00,        -2.291181250932e+01,        +3.308715624596e+01
 1.50000000e+00,        -2.139535512539e+01,        +4.298450915009e+01,        -5.635964639593e-01,        -4.422276014176e+00,        -5.635964639594e-01,        -4.422276014176e+00,        -2.137119011183e+01,        +4.305874421474e+01
 2.00000000e+00,        -1.988461980804e+01,        +4.958722731655e+01,        -5.870500289679e-01,        -5.825332364878e+00,        -5.870500289680e-01,        -5.825332364878e+00,        -1.985711777650e+01,        +4.963975283517e+01
 2.50000000e+00,        -1.849571749619e+01,        +5.388521064827e+01,        -6.125953707023e-01,        -7.215984903947e+00,        -6.125953707023e-01,        -7.215984903947e+00,        -1.846633250623e+01,        +5.391588368986e+01
 3.00000000e+00,        -1.724816762716e+01,        +5.665723455787e+01,        -6.407540994437e-01,        -8.599274993135e+00,        -6.407540994438e-01,        -8.599274993135e+00,        -1.721799424633e+01,        +5.666812642415e+01
 3.50000000e+00,        -1.613315654919e+01,        +5.840716685902e+01,        -6.719564237609e-01,        -9.976844940415e+00,        -6.719564237609e-01,        -9.976844940414e+00,        -1.610285600375e+01,        +5.840157465548e+01
 4.00000000e+00,        -1.513434076637e+01,        +5.945506642206e+01,        -7.064786322145e-01,        -1.134884237890e+01,        -7.064786322145e-01,        -1.134884237890e+01,        -1.510423359808e+01,        +5.943617330784e+01
 4.50000000e+00,        -1.423521099098e+01,        +6.000718046715e+01,        -7.444755896394e-01,        -1.271482756084e+01,        -7.444755896394e-01,        -1.271482756084e+01,        -1.420541126914e+01,        +5.997751776131e+01
 5.00000000e+00,        -1.342126338858e+01,        +6.019992322268e+01,        -7.860198372288e-01,        -1.407416521489e+01,        -7.860198372288e-01,        -1.407416521489e+01,        -1.339177774958e+01,        +6.016131217384e+01
 5.50000000e+00,        -1.268034606534e+01,        +6.012615890068e+01,        -8.311303334677e-01,        -1.542618731156e+01,        -8.311303334677e-01,        -1.542618731156e+01,        -1.265113400978e+01,        +6.007982342272e+01
 6.00000000e+00,        -1.200243376427e+01,        +5.985089402661e+01,        -8.797913666234e-01,        -1.677025801160e+01,        -8.797913666234e-01,        -1.677025801160e+01,        -1.197344167529e+01,        +5.979761015951e+01
 6.50000000e+00,        -1.137927310713e+01,        +5.942081357975e+01,        -9.319646179705e-01,        -1.810579713711e+01,        -9.319646179705e-01,        -1.810579713711e+01,        -1.135045175883e+01,        +5.936105201933e+01
 7.00000000e+00,        -1.080404325703e+01,        +5.887022096818e+01,        -9.875968083021e-01,        -1.943228679710e+01,        -9.875968083021e-01,        -1.943228679710e+01,        -1.077535442326e+01,        +5.880426615236e+01
 7.50000000e+00,        -1.027107055303e+01,        +5.822483810098e+01,        -1.046624665628e+00,        -2.074927206514e+01,        -1.046624665628e+00,        -2.074927206514e+01,        -1.024248683569e+01,        +5.815287336629e+01
 8.00000000e+00,        -9.775599660588e+00,        +5.750430049466e+01,        -1.108978383630e+00,        -2.205635967191e+01,        -1.108978383630e+00,        -2.205635967191e+01,        -9.747101406629e+00,        +5.742645760581e+01
