        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e-02,        +9.143289184608e-13,        +6.963710231092e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.801690875645e-13,        +6.963709326656e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e-02,        +9.142990589967e-13,        +6.931661997455e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.801281874093e-13,        +6.931660965561e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e-01,        +8.869974978225e-13,        +6.767946591863e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +8.538912603233e-13,        +6.767731188813e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.00000000e+00,        +8.284930002668e-13,        +6.651489699083e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.989434408113e-13,        +6.650894529806e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+00,        +7.708495827411e-13,        +6.561746662125e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.438871295551e-13,        +6.561146851027e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+00,        +7.267464639721e-13,        +6.493226671257e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.011503855186e-13,        +6.492787124629e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+00,        +6.968212015389e-13,        +6.437159546148e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.722557322703e-13,        +6.436594606796e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.00000000e+00,        +6.782167781545e-13,        +6.387379629174e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.546117795702e-13,        +6.386461772512e-12,        +0.000000000000e+00,        +0.000000000000e+00
 3.50000000e+00,        +6.680073958271e-13,        +6.340135044147e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.453179314487e-13,        +6.338785758131e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.00000000e+00,        +6.639822334758e-13,        +6.293241018380e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.421546654298e-13,        +6.291480057822e-12,        +0.000000000000e+00,        +0.000000000000e+00
 4.50000000e+00,        +6.646056079548e-13,        +6.245441181355e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.435854978080e-13,        +6.243335899619e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.00000000e+00,        +6.688285423226e-13,        +6.196023801555e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.485693165976e-13,        +6.193658559247e-12,        +0.000000000000e+00,        +0.000000000000e+00
 5.50000000e+00,        +6.759262656777e-13,        +6.144603545186e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.563936479219e-13,        +6.142062479027e-12,        +0.000000000000e+00,        +0.000000000000e+00
 6.00000000e+00,        +6.853851906102e-13,        +6.090996164201e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.665586222367e-13,        +6.088352461162e-12,        +0.000000000000e+00,        +0.000000000000e+00
