        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e-02,        +1.414213562373e-01,        +1.490174500657e-01,        +3.209576119339e-05,        +1.338252428283e-01,        -4.310042046395e-05,        +1.414213562373e-01,        +1.338252428283e-01,        -4.310042046602e-05,        +1.490174504513e-01,        +3.229683321270e-05
 2.00000000e-02,        +1.414213562373e-01,        +1.490181154956e-01,        +6.363525587995e-05,        +1.338245188355e-01,        -8.564400251649e-05,        +1.414213562373e-01,        +1.338245188355e-01,        -8.564400251731e-05,        +1.490181171875e-01,        +6.403753347766e-05
 5.00000000e-01,        +1.414213562373e-01,        +1.490661234176e-01,        +1.536520254758e-03,        +1.337312647787e-01,        -2.074584178359e-03,        +1.414213562373e-01,        +1.337312647787e-01,        -2.074584178358e-03,        +1.490673886958e-01,        +1.546291359913e-03
 1.00000000e+00,        +1.414213562373e-01,        +1.491523857511e-01,        +3.040311216072e-03,        +1.335394590609e-01,        -4.061878828150e-03,        +1.414213562373e-01,        +1.335394590609e-01,        -4.061878828150e-03,        +1.491564789213e-01,        +3.058377548031e-03
 1.50000000e+00,        +1.414213562373e-01,        +1.492704217118e-01,        +4.539121196618e-03,        +1.333034481995e-01,        -5.983299939940e-03,        +1.414213562373e-01,        +1.333034481995e-01,        -5.983299939940e-03,        +1.492775681543e-01,        +4.564476817138e-03
 2.00000000e+00,        +1.414213562373e-01,        +1.494293474365e-01,        +6.038685722204e-03,        +1.330401182727e-01,        -7.863952367599e-03,        +1.414213562373e-01,        +1.330401182727e-01,        -7.863952367599e-03,        +1.494398905717e-01,        +6.070894660541e-03
 2.50000000e+00,        +1.414213562373e-01,        +1.496345925713e-01,        +7.536272581104e-03,        +1.327500179095e-01,        -9.720593285108e-03,        +1.414213562373e-01,        +1.327500179095e-01,        -9.720593285108e-03,        +1.496489670927e-01,        +7.574870153997e-03
 3.00000000e+00,        +1.414213562373e-01,        +1.498876800584e-01,        +9.027753090352e-03,        +1.324290729721e-01,        -1.156124629077e-02,        +1.414213562373e-01,        +1.324290729721e-01,        -1.156124629077e-02,        +1.499062134570e-01,        +9.072245781013e-03
 3.50000000e+00,        +1.414213562373e-01,        +1.501882255706e-01,        +1.050971120345e-02,        +1.320733938718e-01,        -1.338874376577e-02,        +1.414213562373e-01,        +1.320733938718e-01,        -1.338874376577e-02,        +1.502111275389e-01,        +1.055967422118e-02
 4.00000000e+00,        +1.414213562373e-01,        +1.505351949943e-01,        +1.197955975468e-02,        +1.316803149476e-01,        -1.520341195652e-02,        +1.414213562373e-01,        +1.316803149476e-01,        -1.520341195652e-02,        +1.505626182850e-01,        +1.203468187552e-02
