        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 2.05000000e+01,        -7.285807858052e+00,        +5.010340238535e+01,        -1.575732459334e+00,        -3.164992395183e+01,        -1.575732459334e+00,        -3.164992395183e+01,        -7.246857332106e+00,        +4.990872826683e+01
 2.10000000e+01,        -7.111297187536e+00,        +4.952900136941e+01,        -1.622871562997e+00,        -3.236845723951e+01,        -1.622871562997e+00,        -3.236845723951e+01,        -7.072291302571e+00,        +4.932847042166e+01
 2.15000000e+01,        -6.941777554157e+00,        +4.895069600323e+01,        -1.670912776527e+00,        -3.308474258254e+01,        -1.670912776527e+00,        -3.308474258254e+01,        -6.902716125222e+00,        +4.874430342456e+01
 2.20000000e+01,        -6.777034052214e+00,        +4.836888429105e+01,        -1.719854553477e+00,        -3.379879308142e+01,        -1.719854553477e+00,        -3.379879308142e+01,        -6.737916897746e+00,        +4.815662375465e+01
 2.25000000e+01,        -6.616865826112e+00,        +4.778392745747e+01,        -1.769695587727e+00,        -3.451062087117e+01,        -1.769695587727e+00,        -3.451062087117e+01,        -6.577692769167e+00,        +4.756579121923e+01
 2.30000000e+01,        -6.461084875292e+00,        +4.719615414589e+01,        -1.820434794326e+00,        -3.522023717231e+01,        -1.820434794326e+00,        -3.522023717231e+01,        -6.421855744530e+00,        +4.697213313985e+01
 2.35000000e+01,        -6.309514979474e+00,        +4.660586405921e+01,        -1.872071292732e+00,        -3.592765234680e+01,        -1.872071292732e+00,        -3.592765234680e+01,        -6.270229609919e+00,        +4.637594798234e+01
 2.40000000e+01,        -6.161990730510e+00,        +4.601333112487e+01,        -1.924604392290e+00,        -3.663287595699e+01,        -1.924604392290e+00,        -3.663287595699e+01,        -6.122648964122e+00,        +4.577750851245e+01
 2.45000000e+01,        -6.018356658869e+00,        +4.541880625287e+01,        -1.978033579760e+00,        -3.733591682637e+01,        -1.978033579760e+00,        -3.733591682637e+01,        -5.978958344951e+00,        +4.517706454559e+01
 2.50000000e+01,        -5.878466444279e+00,        +4.482251974499e+01,        -2.032358508718e+00,        -3.803678310082e+01,        -2.032358508718e+00,        -3.803678310082e+01,        -5.839011439746e+00,        +4.457484534872e+01
 2.55000000e+01,        -5.742182201332e+00,        +4.422468340401e+01,        -2.087578990677e+00,        -3.873548230942e+01,        -2.087578990677e+00,        -3.873548230942e+01,        -5.702670370852e+00,        +4.397106174314e+01
 2.60000000e+01,        -5.609373831953e+00,        +4.362549238493e+01,        -2.143694987753e+00,        -3.943202142412e+01,        -2.143694987753e+00,        -3.943202142412e+01,        -5.569805047990e+00,        +4.336590794989e+01
 2.65000000e+01,        -5.479918437640e+00,        +4.302512682315e+01,        -2.200706606729e+00,        -4.012640691768e+01,        -2.200706606729e+00,        -4.012640691768e+01,        -5.440292580410e+00,        +4.275956321281e+01
 2.70000000e+01,        -5.353699785170e+00,        +4.242375326999e+01,        -2.258614094369e+00,        -4.081864481939e+01,        -2.258614094369e+00,        -4.081864481939e+01,        -5.314016742524e+00,        +4.215219322941e+01
 2.75000000e+01,        -5.230607820240e+00,        +4.182152596115e+01,        -2.317417833857e+00,        -4.150874076833e+01,        -2.317417833857e+00,        -4.150874076833e+01,        -5.190867487492e+00,        +4.154395141519e+01
 2.80000000e+01,        -5.110538224127e+00,        +4.121858793999e+01,        -2.377118342241e+00,        -4.219670006381e+01,        -2.377118342241e+00,        -4.219670006381e+01,        -5.070740503836e+00,        +4.093498002323e+01
 2.85000000e+01,        -4.993392009008e+00,        +4.061507205468e+01,        -2.437716268752e+00,        -4.288252771301e+01,        -2.437716268752e+00,        -4.288252771301e+01,        -4.953536810723e+00,        +4.032541113791e+01
 2.90000000e+01,        -4.879075148086e+00,        +4.001110184519e+01,        -2.499212393924e+00,        -4.356622847566e+01,        -2.499212393924e+00,        -4.356622847566e+01,        -4.839162388066e+00,        +3.971536755888e+01
 2.95000000e+01,        -4.767498237070e+00,        +3.940679233407e+01,        -2.561607629402e+00,        -4.424780690572e+01,        -2.561607629402e+00,        -4.424780690572e+01,        -4.727527837989e+00,        +3.910496358912e+01
 3.00000000e+01,        -4.658576183967e+00,        +3.880225073309e+01,        -2.624903018368e+00,        -4.492726739011e+01,        -2.624903018368e+00,        -4.492726739011e+01,        -4.618548074609e+00,        +3.849430573907e+01
 3.05000000e+01,        -4.552227924439e+00,        +3.819757707604e+01,        -2.689099736508e+00,        -4.560461418462e+01,        -2.689099736508e+00,        -4.560461418462e+01,        -4.512142039388e+00,        +3.788349335711e+01
 3.10000000e+01,        -4.448376160307e+00,        +3.759286478654e+01,        -2.754199093450e+00,        -4.627985144693e+01,        -2.754199093450e+00,        -4.627985144693e+01,        -4.408232439640e+00,        +3.727261919541e+01
 3.15000000e+01,        -4.346947119007e+00,        +3.698820118880e+01,        -2.820202534623e+00,        -4.695298326698e+01,        -2.820202534623e+00,        -4.695298326698e+01,        -4.306745507997e+00,        +3.666176991873e+01
 3.20000000e+01,        -4.247870332065e+00,        +3.638366796789e+01,        -2.887111643491e+00,        -4.762401369477e+01,        -2.887111643491e+00,        -4.762401369477e+01,        -4.207610780894e+00,        +3.605102656305e+01
 3.25000000e+01,        -4.151078430833e+00,        +3.577934158549e+01,        -2.954928144093e+00,        -4.829294676566e+01,        -2.954928144092e+00,        -4.829294676566e+01,        -4.110760894315e+00,        +3.544046494973e+01
 3.30000000e+01,        -4.056506957921e+00,        +3.517529365609e+01,        -3.023653903883e+00,        -4.895978652343e+01,        -3.023653903883e+00,        -4.895978652343e+01,        -4.016131395254e+00,        +3.483015606033e+01
 3.35000000e+01,        -3.964094192921e+00,        +3.457159128828e+01,        -3.093290936817e+00,        -4.962453704108e+01,        -3.093290936817e+00,        -4.962453704108e+01,        -3.923660567445e+00,        +3.422016637653e+01
 3.40000000e+01,        -3.873780991149e+00,        +3.396829739470e+01,        -3.163841406655e+00,        -5.028720243969e+01,        -3.163841406655e+00,        -5.028720243969e+01,        -3.833289270140e+00,        +3.361055818903e+01
 3.45000000e+01,        -3.785510634267e+00,        +3.336547097444e+01,        -3.235307630473e+00,        -5.094778690529e+01,        -3.235307630473e+00,        -5.094778690529e+01,        -3.744960788746e+00,        +3.300138987873e+01
 3.50000000e+01,        -3.699228691768e+00,        +3.276316737048e+01,        -3.307692082344e+00,        -5.160629470405e+01,        -3.307692082344e+00,        -5.160629470405e+01,        -3.658620696338e+00,        +3.239271617330e+01
 3.55000000e+01,        -3.614882892370e+00,        +3.216143850510e+01,        -3.380997397183e+00,        -5.226273019578e+01,        -3.380997397183e+00,        -5.226273019578e+01,        -3.574216725078e+00,        +3.178458838161e+01
 3.60000000e+01,        -3.532423004508e+00,        +3.156033309532e+01,        -3.455226374740e+00,        -5.291709784598e+01,        -3.455226374740e+00,        -5.291709784598e+01,        -3.491698646734e+00,        +3.117705460839e+01
 3.65000000e+01,        -3.451800725149e+00,        +3.095989685063e+01,        -3.530381983726e+00,        -5.356940223647e+01,        -3.530381983726e+00,        -5.356940223647e+01,        -3.411018161522e+00,        +3.057015995115e+01
 3.70000000e+01,        -3.372969576245e+00,        +3.036017265452e+01,        -3.606467366066e+00,        -5.421964807477e+01,        -3.606467366066e+00,        -5.421964807477e+01,        -3.332128794585e+00,        +2.996394668108e+01
 3.75000000e+01,        -3.295884808211e+00,        +2.976120073167e+01,        -3.683485841277e+00,        -5.486784020237e+01,        -3.683485841277e+00,        -5.486784020237e+01,        -3.254985799497e+00,        +2.935845440954e+01
 3.80000000e+01,        -3.220503309845e+00,        +2.916301880202e+01,        -3.761440910956e+00,        -5.551398360189e+01,        -3.761440910956e+00,        -5.551398360189e+01,        -3.179546068214e+00,        +2.875372024158e+01
 3.85000000e+01,        -3.146783524197e+00,        +2.856566222302e+01,        -3.840336263383e+00,        -5.615808340334e+01,        -3.840336263383e+00,        -5.615808340334e+01,        -3.105768046965e+00,        +2.814977891764e+01
 3.90000000e+01,        -3.074685369905e+00,        +2.796916412117e+01,        -3.920175778240e+00,        -5.680014488950e+01,        -3.920175778240e+00,        -5.680014488950e+01,        -3.033611657614e+00,        +2.754666294457e+01
 3.95000000e+01,        -3.004170167581e+00,        +2.737355551381e+01,        -4.000963531435e+00,        -5.744017350052e+01,        -4.000963531435e+00,        -5.744017350052e+01,        -2.963038224075e+00,        +2.694440271702e+01
 4.00000000e+01,        -2.935200570855e+00,        +2.677886542211e+01,        -4.082703800044e+00,        -5.807817483789e+01,        -4.082703800044e+00,        -5.807817483789e+01,        -2.894010403379e+00,        +2.634302662991e+01
