        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.40000000e+01,        +5.376634601089e-13,        +3.294895390408e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.269990077365e-13,        +3.293442915108e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.45000000e+01,        +5.450689280147e-13,        +3.277784577636e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.347442806199e-13,        +3.276332964150e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.50000000e+01,        +5.526934743631e-13,        +3.260425011443e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.427150446704e-13,        +3.258975113863e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.55000000e+01,        +5.605274893731e-13,        +3.242826806288e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.509016062991e-13,        +3.241379443300e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.60000000e+01,        +5.685619264350e-13,        +3.224999894168e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.592948262243e-13,        +3.223555858522e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.65000000e+01,        +5.767882156252e-13,        +3.206953997403e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.678860350899e-13,        +3.205514064367e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.70000000e+01,        +5.851981929521e-13,        +3.188698614855e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.766669643312e-13,        +3.187263549612e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.75000000e+01,        +5.937840422157e-13,        +3.170243017764e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.856296892621e-13,        +3.168813581815e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.80000000e+01,        +6.025382470595e-13,        +3.151596252281e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.947665820479e-13,        +3.150173208947e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.85000000e+01,        +6.114535513227e-13,        +3.132767146501e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.040702727387e-13,        +3.131351265637e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.90000000e+01,        +6.205229261958e-13,        +3.113764320336e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.135336169243e-13,        +3.112356382351e-12,        +0.000000000000e+00,        +0.000000000000e+00
 1.95000000e+01,        +6.297395429882e-13,        +3.094596196987e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.231496688647e-13,        +3.093196996285e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +6.390967505475e-13,        +3.075271015105e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.329116591718e-13,        +3.073881363018e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.05000000e+01,        +6.485880565541e-13,        +3.055796840987e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.428129762944e-13,        +3.054417568293e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.10000000e+01,        +6.582071120553e-13,        +3.036181580343e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.528471511942e-13,        +3.034813539429e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.15000000e+01,        +6.679476987169e-13,        +3.016432989330e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.630078447051e-13,        +3.015077056045e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.20000000e+01,        +6.778037183591e-13,        +2.996558684651e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.732888371579e-13,        +2.995215759914e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.25000000e+01,        +6.877691844168e-13,        +2.976566152616e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.836840199172e-13,        +2.975237163802e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.30000000e+01,        +6.978382150216e-13,        +2.956462757115e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.941873885376e-13,        +2.955148659259e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.35000000e+01,        +7.080050274522e-13,        +2.936255746508e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.047930372862e-13,        +2.934957523350e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.40000000e+01,        +7.182639337370e-13,        +2.915952259473e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.154951548230e-13,        +2.914670924372e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.45000000e+01,        +7.286093372284e-13,        +2.895559329857e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.262880208568e-13,        +2.894295926582e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.50000000e+01,        +7.390357299918e-13,        +2.875083890621e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.371660036214e-13,        +2.873839494045e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.55000000e+01,        +7.495376908783e-13,        +2.854532776942e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.481235580431e-13,        +2.853308493642e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.60000000e+01,        +7.601098841664e-13,        +2.833912728579e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.591552244824e-13,        +2.832709697358e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.65000000e+01,        +7.707470586776e-13,        +2.813230391564e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.702556279543e-13,        +2.812049783908e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.70000000e+01,        +7.814440472807e-13,        +2.792492319331e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.814194777430e-13,        +2.791335339793e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.75000000e+01,        +7.921957667148e-13,        +2.771704973338e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +7.926415673383e-13,        +2.770572859871e-12,        +0.000000000000e+00,        +0.000000000000e+00
