        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.),             |S[2][1]| (dB),        arg(S[2][1]) (deg.),             |S[1][2]| (dB),        arg(S[1][2]) (deg.),             |S[2][2]| (dB),        arg(S[2][2]) (deg.)
 1.00000000e-01,        -2.511864265900e+01,        +2.617584946599e+00,        -4.952053448025e-01,        -1.944582987999e-01,        -4.952063561349e-01,        -1.944602596708e-01,        -2.511852806270e+01,        +2.630249179924e+00
 2.00000000e+01,        -6.524915475005e+00,        +4.834816219740e+01,        -1.831252793760e+00,        -3.341232079911e+01,        -1.831254050769e+00,        -3.341232139244e+01,        -6.493928193034e+00,        +4.820444904193e+01
