        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e-01,        +5.429066942251e-13,        +4.295984433848e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +5.233412640437e-13,        +4.295981802159e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +6.962381914343e-13,        +3.302715061901e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.916161096656e-13,        +3.301956483941e-12,        +0.000000000000e+00,        +0.000000000000e+00
