        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 1.00000000e-01,        +1.414213562373e-01,        +1.492371644051e-01,        +3.103198347526e-04,        +1.336035074548e-01,        -4.406796426874e-04,        +1.414213562373e-01,        +1.336035075077e-01,        -4.406869444360e-04,        +1.492372159296e-01,        +3.127544676395e-04
 2.00000000e+01,        +1.414213562373e-01,        +1.854665982460e-01,        +4.625755067848e-02,        +9.505362708834e-02,        -6.435664036949e-02,        +1.414213562373e-01,        +9.505367531738e-02,        -6.435665494327e-02,        +1.858294285611e-01,        +4.639675079390e-02
