        f (GHz),              E_elec[1] (J),               E_mag[1] (J),               E_cap[1] (J),               E_ind[1] (J),              E_elec[2] (J),               E_mag[2] (J),               E_cap[2] (J),               E_ind[2] (J)
 1.00000000e-01,        +5.129616081574e-13,        +3.940113773497e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +4.939750514000e-13,        +3.940111445167e-12,        +0.000000000000e+00,        +0.000000000000e+00
 2.00000000e+01,        +6.233421333609e-13,        +3.101041216389e-12,        +0.000000000000e+00,        +0.000000000000e+00,        +6.156378968121e-13,        +3.100546135707e-12,        +0.000000000000e+00,        +0.000000000000e+00
